id,top,bottom,left,right,block
3251,..#..##...,#.##...##.,...#######,.....#.#..,"{{.,.,#,.,.,#,#,.,.,.},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,#,.,.,.,.,.},{#,.,#,.,.,.,.,.,#,.},{#,.,#,#,.,.,.,#,.,.},{#,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,#,#,.,.,.},{#,#,#,.,.,.,#,#,#,#},{#,.,.,.,.,.,#,#,.,.},{#,.,#,#,.,.,.,#,#,.}}"
2273,####..###.,.##.###..#,#.##..###.,.#.#....##,"{{#,#,#,#,.,.,#,#,#,.},{.,.,.,.,.,.,#,.,.,#},{#,.,#,.,.,.,#,.,.,.},{#,.,.,#,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,#,.},{.,.,.,.,.,.,.,.,#,.},{#,#,#,#,.,.,.,#,.,.},{#,.,.,.,.,.,.,.,.,.},{#,#,.,.,#,.,.,.,.,#},{.,#,#,.,#,#,#,.,.,#}}"
2053,####..###.,.#.###.#..,#...##..#.,...#.#.#..,"{{#,#,#,#,.,.,#,#,#,.},{.,.,.,.,.,.,.,.,.,.},{.,.,.,#,.,.,.,.,.,.},{.,.,.,.,.,#,.,.,.,#},{#,.,.,#,.,.,#,.,.,.},{#,.,.,.,.,#,.,.,.,#},{.,#,.,.,.,.,.,.,.,.},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,#,.,.,.},{.,#,.,#,#,#,.,#,.,.}}"
3623,..#..#.###,#.#..#####,.#####.#.#,##...#...#,"{{.,.,#,.,.,#,.,#,#,#},{#,.,#,.,.,.,.,.,.,#},{#,.,.,.,#,.,.,.,.,.},{#,.,.,.,#,.,.,.,#,.},{#,#,#,#,.,.,#,#,#,.},{#,#,.,.,.,#,#,.,.,#},{.,.,.,.,.,.,#,.,#,.},{#,.,.,.,#,#,#,.,.,.},{.,.,.,.,.,.,#,.,.,.},{#,.,#,.,.,#,#,#,#,#}}"
3389,...#..##..,..#.#.#...,.....#.#..,..##......,"{{.,.,.,#,.,.,#,#,.,.},{.,.,.,#,#,#,.,.,.,.},{.,.,#,.,.,.,.,.,.,#},{.,#,.,.,#,#,.,#,.,#},{.,#,.,.,#,.,#,.,.,.},{#,#,.,.,.,#,.,.,.,.},{.,.,.,.,.,#,.,#,.,.},{#,#,.,.,.,#,.,#,.,.},{.,.,#,.,.,.,.,.,.,.},{.,.,#,.,#,.,#,.,.,.}}"
3803,.#.#.#.###,####.#....,.#.#######,###.###...,"{{.,#,.,#,.,#,.,#,#,#},{#,#,#,.,#,.,.,.,.,#},{.,.,#,.,.,.,.,.,.,#},{#,.,#,.,.,.,.,.,.,.},{#,.,.,.,.,#,.,.,.,#},{#,#,.,.,.,.,.,.,.,#},{#,#,.,.,.,.,.,#,.,#},{#,#,.,.,#,.,.,#,.,.},{#,.,#,#,#,#,#,.,#,.},{#,#,#,#,.,#,.,.,.,.}}"
1871,.##..##.#.,.....##..#,.#..####..,.#.#######,"{{.,#,#,.,.,#,#,.,#,.},{#,.,.,.,.,#,.,.,#,#},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,#,.,.,.,.,#},{#,#,.,.,.,#,.,.,.,#},{#,.,.,.,.,#,.,.,.,#},{#,#,.,.,#,#,#,.,.,#},{#,#,.,#,.,#,.,.,.,#},{.,.,.,.,.,.,.,.,#,#},{.,.,.,.,.,#,#,.,.,#}}"
1021,###...#..#,#####.###.,#####.##.#,#...#.###.,"{{#,#,#,.,.,.,#,.,.,#},{#,.,#,.,.,.,.,.,.,.},{#,.,.,#,.,.,.,.,.,.},{#,#,#,.,.,#,.,.,.,.},{#,#,.,.,.,#,.,#,.,#},{.,#,.,#,#,#,.,.,#,.},{#,#,#,.,#,.,.,.,#,#},{#,#,.,.,.,#,#,.,.,#},{.,#,.,#,.,.,#,.,.,#},{#,#,#,#,#,.,#,#,#,.}}"
2011,..#.###..#,##..######,.##.#..###,##.##.#.##,"{{.,.,#,.,#,#,#,.,.,#},{#,.,.,.,.,.,.,#,.,#},{#,#,.,#,#,.,.,#,.,.},{.,#,#,.,.,#,.,.,.,#},{#,#,.,#,.,.,#,#,.,#},{.,.,.,.,#,#,.,.,.,.},{.,.,.,.,#,.,.,.,.,#},{#,.,.,.,.,.,#,.,.,.},{#,.,.,#,.,.,#,.,.,#},{#,#,.,.,#,#,#,#,#,#}}"
2707,#.###.#...,##.##..##.,#...##.###,...###..#.,"{{#,.,#,#,#,.,#,.,.,.},{.,.,.,.,.,.,.,.,.,.},{.,#,.,#,.,.,.,#,.,.},{.,.,.,#,.,#,.,.,.,#},{#,#,.,.,#,#,.,.,.,#},{#,.,.,.,#,.,.,.,.,#},{.,.,.,.,.,.,#,.,.,.},{#,.,.,.,#,.,.,.,.,.},{#,#,.,.,.,#,.,.,.,#},{#,#,.,#,#,.,.,#,#,.}}"
3691,##.#..#...,#####.#.#.,##.##..###,.####.##..,"{{#,#,.,#,.,.,#,.,.,.},{#,#,.,.,.,.,.,.,#,#},{.,#,.,.,.,.,.,.,.,#},{#,#,#,.,.,#,.,.,#,#},{#,.,.,#,#,.,.,.,.,#},{.,#,#,.,#,.,.,.,.,.},{.,.,#,.,.,.,.,#,.,#},{#,.,.,#,.,.,.,.,.,#},{#,.,.,#,.,.,.,.,#,.},{#,#,#,#,#,.,#,.,#,.}}"
3449,.#.##.#..#,...####..#,.####..#..,#####.####,"{{.,#,.,#,#,.,#,.,.,#},{#,.,.,#,#,.,.,#,.,#},{#,.,.,.,#,.,.,#,#,#},{#,#,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,#,.,#,#},{.,.,.,.,#,.,.,.,.,.},{.,.,.,.,.,.,.,.,.,#},{#,.,.,#,.,#,#,.,.,#},{.,.,.,.,#,.,.,.,.,#},{.,.,.,#,#,#,#,.,.,#}}"
1667,.#.####.##,.#.####...,....#.#.#.,##....##..,"{{.,#,.,#,#,#,#,.,#,#},{.,.,.,#,.,.,.,.,.,#},{.,.,#,.,.,#,.,.,.,.},{.,#,#,.,#,.,.,.,.,.},{#,.,#,.,.,.,.,.,.,.},{.,.,.,#,.,.,#,.,#,.},{#,.,.,.,#,.,.,.,.,#},{.,.,.,.,.,.,#,.,#,#},{#,.,#,#,.,.,#,.,.,.},{.,#,.,#,#,#,#,.,.,.}}"
3319,...#....#.,#...#...#.,.###.##.##,....#.###.,"{{.,.,.,#,.,.,.,.,#,.},{#,.,#,#,.,.,#,.,#,.},{#,.,.,.,.,.,.,#,.,.},{#,.,.,.,#,.,.,.,.,.},{.,.,#,#,#,.,.,.,.,#},{#,.,#,.,.,.,.,#,.,.},{#,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,#},{#,#,#,.,.,.,.,.,.,#},{#,.,.,.,#,.,.,.,#,.}}"
1013,....#...#.,##.#.#.##.,.######..#,.#.#...#..,"{{.,.,.,.,#,.,.,.,#,.},{#,.,.,#,.,#,.,.,.,#},{#,.,.,.,.,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,#},{#,.,#,.,.,.,.,.,.,.},{#,.,.,#,.,#,.,.,#,.},{#,.,#,#,#,.,.,.,#,.},{.,.,.,#,.,.,.,.,.,#},{.,.,.,.,.,.,.,#,#,.},{#,#,.,#,.,#,.,#,#,.}}"
2797,..##.###..,##.#...#.#,..########,.##.....##,"{{.,.,#,#,.,#,#,#,.,.},{.,#,.,.,.,.,.,#,.,#},{#,.,.,#,.,#,.,.,.,#},{#,#,.,#,.,#,.,.,.,.},{#,.,.,#,.,.,.,.,#,.},{#,#,.,.,#,.,#,#,.,.},{#,.,#,.,.,#,.,.,.,.},{#,.,.,#,.,#,.,.,.,.},{#,.,#,.,.,#,.,.,.,#},{#,#,.,#,.,.,.,#,.,#}}"
2347,####.##.#.,#.#.#.##.#,####.#..##,.....##..#,"{{#,#,#,#,.,#,#,.,#,.},{#,#,.,.,#,.,#,.,.,.},{#,.,#,.,.,.,.,.,.,.},{#,.,.,#,.,.,#,#,.,.},{.,#,.,.,#,.,.,.,#,.},{#,.,#,.,.,#,#,#,.,#},{.,.,.,.,.,#,#,.,#,#},{.,.,.,.,.,#,.,.,.,.},{#,.,.,.,.,#,.,.,.,.},{#,.,#,.,#,.,#,#,.,#}}"
3793,..#..##.#.,.###......,........#.,.##.#.#...,"{{.,.,#,.,.,#,#,.,#,.},{.,.,.,.,.,.,.,.,.,#},{.,.,.,#,#,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,.},{.,.,#,.,.,.,.,#,.,#},{.,.,.,.,.,.,#,.,.,.},{.,#,.,.,.,.,#,.,#,#},{.,.,.,#,#,.,.,#,#,.},{#,.,.,.,.,.,#,.,.,.},{.,#,#,#,.,.,.,.,.,.}}"
1409,.#.#......,#####.#.#.,.#..#.####,...#...##.,"{{.,#,.,#,.,.,.,.,.,.},{#,.,.,.,.,#,.,.,.,.},{.,.,.,#,.,.,#,.,#,.},{.,.,.,#,.,.,#,.,.,#},{#,.,.,.,#,.,.,.,.,.},{.,.,.,.,.,.,#,.,.,.},{#,.,.,.,.,#,.,#,.,.},{#,.,#,.,.,.,.,.,.,#},{#,.,#,.,#,.,.,#,.,#},{#,#,#,#,#,.,#,.,#,.}}"
2141,##...#.#..,#..#...#.#,#..#.#...#,.#...#..##,"{{#,#,.,.,.,#,.,#,.,.},{.,.,.,#,#,.,.,.,.,#},{.,#,.,.,.,.,.,.,.,.},{#,#,.,#,.,.,.,#,#,.},{.,.,#,.,.,.,.,.,.,.},{#,.,.,#,#,.,.,.,.,#},{.,#,#,.,.,#,.,.,.,.},{.,#,#,#,.,.,#,#,#,.},{.,.,.,.,.,#,.,#,.,#},{#,.,.,#,.,.,.,#,.,#}}"
1697,.###..##.#,##.##.#.#.,...##.#..#,####....#.,"{{.,#,#,#,.,.,#,#,.,#},{.,.,.,#,.,#,.,.,#,#},{.,#,.,.,#,.,#,#,#,#},{#,#,#,#,.,.,.,.,#,#},{#,.,#,.,.,.,.,.,.,.},{.,#,.,.,.,#,.,.,.,.},{#,.,.,.,.,.,#,.,.,.},{.,#,.,#,.,.,#,#,.,.},{.,#,#,.,.,.,.,#,.,#},{#,#,.,#,#,.,#,.,#,.}}"
1291,#######..#,...###..#.,#.##.#.##.,#.#####...,"{{#,#,#,#,#,#,#,.,.,#},{.,#,#,.,.,#,.,#,.,.},{#,#,.,#,.,.,.,#,.,#},{#,#,.,.,.,.,.,.,.,#},{.,.,.,.,.,#,#,.,.,#},{#,.,#,.,.,#,.,#,.,#},{.,.,.,#,#,#,.,#,.,#},{#,.,#,#,.,.,.,.,.,.},{#,.,.,.,#,.,.,#,.,.},{.,.,.,#,#,#,.,.,#,.}}"
3023,#.##.#..##,##.##.#...,###.##...#,#..###.#..,"{{#,.,#,#,.,#,.,.,#,#},{#,.,.,.,.,.,.,#,.,.},{#,.,.,#,.,.,#,#,.,.},{.,#,.,.,.,#,.,.,#,#},{#,.,#,.,.,.,.,.,.,#},{#,.,#,.,.,.,.,#,.,#},{.,#,.,.,#,.,#,#,.,.},{.,#,.,.,.,.,#,.,.,#},{.,.,.,.,#,.,.,.,#,.},{#,#,.,#,#,.,#,.,.,.}}"
1213,...#.##.##,###..###.#,..#...##.#,##.#####.#,"{{.,.,.,#,.,#,#,.,#,#},{.,.,.,.,#,.,.,.,#,#},{#,.,.,.,.,.,.,#,.,.},{.,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,#},{.,#,.,#,#,.,.,.,.,#},{#,.,.,.,.,.,#,.,.,#},{#,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,#,.,.,#,.},{#,#,#,.,.,#,#,#,.,#}}"
1399,#.###.####,##...#.#.#,##.#.#.#.#,#..##.##.#,"{{#,.,#,#,#,.,#,#,#,#},{#,#,.,.,#,#,#,.,.,.},{.,.,#,#,.,.,.,#,.,.},{#,#,.,.,.,#,.,#,.,#},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,#,.,.,.,.,.},{.,.,#,#,.,.,.,.,.,#},{#,.,#,.,#,.,#,.,.,#},{.,.,.,.,.,.,.,.,.,.},{#,#,.,.,.,#,.,#,.,#}}"
2557,##.#.#####,##....##..,#####..###,#......##.,"{{#,#,.,#,.,#,#,#,#,#},{#,.,.,.,.,#,.,.,#,.},{#,.,.,.,.,#,#,.,.,.},{#,.,#,.,.,.,.,.,.,.},{#,.,#,.,.,#,.,.,.,.},{.,.,#,.,.,.,.,#,.,.},{.,.,#,.,.,#,.,.,#,.},{#,#,.,.,#,.,#,#,.,#},{#,#,.,.,.,.,.,.,.,#},{#,#,.,.,.,.,#,#,.,.}}"
1979,....#..###,#.###.#.##,.#..#.#.##,#.##.#####,"{{.,.,.,.,#,.,.,#,#,#},{#,.,.,.,.,.,.,.,#,.},{.,.,.,#,.,.,.,.,.,#},{.,.,#,.,.,.,.,#,.,#},{#,.,.,.,.,.,#,.,.,.},{.,.,.,#,#,.,.,.,.,#},{#,.,.,.,.,.,.,.,#,#},{.,.,.,.,#,.,.,.,#,#},{#,.,.,.,.,.,#,.,.,#},{#,.,#,#,#,.,#,.,#,#}}"
1619,#.#.#.##..,...#.###..,##...###..,...#..#.#.,"{{#,.,#,.,#,.,#,#,.,.},{#,#,.,#,.,.,.,.,.,.},{.,#,.,.,.,.,.,.,.,.},{.,.,#,#,.,#,.,.,.,#},{.,.,.,.,.,.,.,.,.,.},{#,.,.,.,.,#,.,.,.,.},{#,.,.,.,.,.,#,#,.,#},{#,#,.,.,#,.,#,.,.,.},{.,#,#,.,.,#,.,#,#,#},{.,.,.,#,.,#,#,#,.,.}}"
2957,#.#.###.##,##..#..###,#..###..##,###.#.##.#,"{{#,.,#,.,#,#,#,.,#,#},{.,.,.,.,#,.,#,#,.,#},{.,.,.,.,.,.,.,.,#,#},{#,.,#,.,#,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,#,.,.,.},{.,.,.,#,.,.,.,#,#,#},{.,#,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,.,.,.,.},{#,#,.,.,#,.,.,#,#,#}}"
1933,##.##..#.#,...#.###.#,#.##.##...,#.#####.##,"{{#,#,.,#,#,.,.,#,.,#},{.,.,.,.,.,.,#,.,.,.},{#,.,#,#,#,.,.,.,.,#},{#,.,.,.,#,#,.,.,.,#},{.,.,.,.,.,#,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,#,#,.,.,#},{.,.,.,#,.,.,#,.,.,.},{.,.,.,.,.,.,.,#,#,#},{.,.,.,#,.,#,#,#,.,#}}"
3527,...####.#.,.###......,..#...#...,....#...#.,"{{.,.,.,#,#,#,#,.,#,.},{.,#,.,.,.,.,#,#,.,.},{#,#,.,#,#,.,#,#,#,.},{.,.,.,.,.,#,#,.,#,.},{.,.,.,#,.,.,.,.,.,#},{.,#,#,.,.,.,.,.,.,.},{#,.,.,#,.,#,#,.,.,.},{.,#,.,#,#,.,#,#,.,.},{.,#,#,.,.,.,#,#,.,#},{.,#,#,#,.,.,.,.,.,.}}"
3821,#....#.###,##.##.###.,####.##..#,#...#.##..,"{{#,.,.,.,.,#,.,#,#,#},{#,#,.,#,#,.,.,.,.,.},{#,#,.,#,.,.,.,.,.,.},{#,.,.,#,.,#,.,#,.,.},{.,.,#,.,#,.,.,.,.,#},{#,.,.,#,.,#,.,.,#,.},{#,#,.,.,.,.,#,.,.,#},{.,.,.,.,#,.,.,.,.,#},{.,.,.,#,.,.,.,#,.,.},{#,#,.,#,#,.,#,#,#,.}}"
1549,.###.#....,#..######.,...#.#####,....#.#.#.,"{{.,#,#,#,.,#,.,.,.,.},{.,#,#,.,#,.,.,.,.,.},{.,.,.,.,.,.,.,.,.,.},{#,.,.,.,.,.,.,#,.,.},{.,.,#,.,.,.,#,.,.,#},{#,.,.,.,.,.,#,.,.,.},{#,.,#,#,.,#,.,#,.,#},{#,.,#,.,.,.,.,.,.,.},{#,#,#,.,.,.,.,#,.,#},{#,.,.,#,#,#,#,#,#,.}}"
3271,#....#.##.,...#..#.##,#..###..#.,...#######,"{{#,.,.,.,.,#,.,#,#,.},{.,.,.,.,.,.,.,.,.,.},{.,.,.,#,.,.,.,.,.,.},{#,.,#,.,.,.,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{#,#,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,#},{.,.,.,#,.,.,.,#,.,#},{#,.,.,.,.,.,#,.,#,#},{.,.,.,#,.,.,#,.,#,#}}"
3083,.#####....,.#.#..####,..###..#..,....#.##.#,"{{.,#,#,#,#,#,.,.,.,.},{.,.,.,.,#,.,.,#,.,.},{#,.,.,.,.,.,.,.,.,.},{#,.,#,.,.,.,.,.,.,.},{#,.,#,.,.,.,.,.,.,#},{.,.,.,#,.,.,#,.,.,.},{.,#,#,.,.,#,.,#,#,#},{#,.,.,.,#,.,.,.,.,#},{.,.,.,.,.,#,.,.,.,.},{.,#,.,#,.,.,#,#,#,#}}"
2729,.#..###.#.,#####.##..,.##....#.#,...#..###.,"{{.,#,.,.,#,#,#,.,#,.},{#,.,#,.,.,#,#,.,.,.},{#,.,.,#,.,.,.,.,.,.},{.,#,#,.,.,.,.,#,.,#},{.,.,.,.,.,.,#,.,.,.},{.,.,.,.,.,#,.,#,#,.},{.,#,.,.,.,#,#,.,.,#},{#,#,.,.,#,.,.,#,.,#},{.,#,.,.,.,.,.,.,#,#},{#,#,#,#,#,.,#,#,.,.}}"
1439,.#..#.##.#,.#..######,....##..#.,###.######,"{{.,#,.,.,#,.,#,#,.,#},{.,#,#,#,#,#,.,.,.,#},{.,.,.,.,.,#,.,.,.,#},{.,#,.,.,.,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,#,.,#},{#,.,#,.,.,.,.,#,.,#},{.,#,.,.,#,#,#,#,#,#}}"
1747,#..#.#.#.#,..#.##...#,######.##.,#..#.##..#,"{{#,.,.,#,.,#,.,#,.,#},{#,.,.,.,.,.,.,.,.,.},{#,.,.,.,.,.,#,#,#,.},{#,.,.,.,.,#,.,.,.,#},{#,#,.,.,.,.,.,#,.,.},{#,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,#,#},{#,#,.,#,.,.,#,.,#,.},{#,.,#,.,#,.,.,#,#,.},{.,.,#,.,#,#,.,.,.,#}}"
2287,####..#...,#..#.#.##.,###.####.#,.##..##.#.,"{{#,#,#,#,.,.,#,.,.,.},{#,.,.,.,.,.,.,.,.,#},{#,.,.,#,.,.,#,#,.,#},{.,.,.,.,.,#,.,#,.,.},{#,.,#,.,.,#,.,.,#,.},{#,#,.,.,.,#,#,#,.,#},{#,.,.,#,#,.,#,.,#,#},{#,#,#,.,.,.,#,.,.,.},{.,.,.,.,#,.,.,.,.,#},{#,.,.,#,.,#,.,#,#,.}}"
3701,.#.#####..,....#....#,....##..#.,..##...#.#,"{{.,#,.,#,#,#,#,#,.,.},{.,.,#,#,.,#,.,.,.,.},{.,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,.,#,.,.},{#,#,#,.,.,.,.,.,.,.},{.,.,.,.,.,.,.,#,.,.},{.,#,.,.,.,.,#,.,#,#},{#,#,.,#,.,.,.,.,.,.},{.,.,.,.,#,.,.,.,.,#}}"
3329,###.##.#.#,#.#.##...#,###...####,#....#..##,"{{#,#,#,.,#,#,.,#,.,#},{#,.,.,#,.,.,.,.,.,.},{#,.,#,#,.,.,.,.,.,.},{.,.,#,.,.,.,.,.,.,.},{.,.,.,.,.,.,.,.,.,.},{.,.,#,.,.,.,.,.,.,#},{#,.,.,#,.,.,.,.,.,.},{#,#,.,#,#,#,.,.,.,.},{#,#,#,.,.,.,.,.,#,#},{#,.,#,.,#,#,.,.,.,#}}"
3089,.#..##.#.#,#.......##,.##.####.#,##.###.#.#,"{{.,#,.,.,#,#,.,#,.,#},{#,#,.,#,.,#,#,.,.,#},{#,.,#,.,#,.,#,#,.,.},{.,.,.,.,.,.,.,#,#,#},{#,.,#,#,.,.,.,.,#,#},{#,.,.,.,.,.,#,#,.,#},{#,#,.,.,.,.,#,.,.,.},{#,#,.,#,.,.,.,.,.,#},{.,#,#,#,.,.,.,#,.,.},{#,.,.,.,.,.,.,.,#,#}}"
3347,.#.#..##.#,#.#...###.,..##.##.##,##.##..##.,"{{.,#,.,#,.,.,#,#,.,#},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,#,.,.,.},{#,.,.,.,.,.,.,.,#,#},{.,#,#,.,#,.,.,.,.,#},{#,.,.,.,.,.,.,.,.,.},{#,.,#,.,.,#,.,.,.,.},{.,.,.,.,.,.,.,.,.,#},{#,#,#,#,#,.,.,#,.,#},{#,.,#,.,.,.,#,#,#,.}}"
1163,.......###,.##...##.#,.#.###.#..,###..##.##,"{{.,.,.,.,.,.,.,#,#,#},{#,.,.,.,.,.,.,#,.,#},{.,.,.,.,.,#,.,.,.,#},{#,.,.,.,.,.,.,.,.,.},{#,#,.,.,.,#,.,.,#,.},{#,.,.,.,#,#,#,.,.,#},{.,.,.,.,#,.,.,#,.,#},{#,.,.,.,.,.,.,.,.,.},{.,.,#,.,.,.,.,.,.,#},{.,#,#,.,.,.,#,#,.,#}}"
3719,.####.####,..#.#...##,..###..#..,##....##.#,"{{.,#,#,#,#,.,#,#,#,#},{.,.,#,.,.,.,.,.,.,#},{#,.,.,.,.,.,.,#,.,.},{#,#,.,.,.,.,#,.,#,.},{#,#,.,.,.,#,.,.,.,.},{.,#,.,.,#,.,.,.,#,.},{.,.,.,.,.,#,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{.,.,#,.,.,.,.,#,.,.},{.,.,#,.,#,.,.,.,#,#}}"
2113,##.##..#.#,#....#...#,##..###.##,##...###.#,"{{#,#,.,#,#,.,.,#,.,#},{#,.,.,#,.,#,.,.,.,#},{.,.,.,.,#,.,.,#,.,.},{.,.,.,.,#,.,.,.,.,.},{#,#,.,.,.,#,#,.,.,.},{#,.,.,.,.,.,.,.,#,#},{#,.,.,#,.,.,.,.,.,#},{.,.,.,.,.,.,.,.,.,#},{#,#,.,.,.,.,.,.,.,.},{#,.,.,.,.,#,.,.,.,#}}"
2027,....#.....,##..#.##.#,...#...###,.#.#..##.#,"{{.,.,.,.,#,.,.,.,.,.},{.,.,.,.,.,.,#,#,#,#},{.,.,.,#,.,.,.,.,#,.},{#,.,#,.,.,.,.,.,.,#},{.,.,#,.,.,.,#,.,.,.},{.,.,.,#,#,.,.,.,#,.},{.,#,.,.,#,.,.,#,.,#},{#,.,#,.,.,.,.,#,.,#},{#,.,.,#,.,.,#,.,#,.},{#,#,.,.,#,.,#,#,.,#}}"
1777,.#.#.##...,.##....###,..##..#...,....####.#,"{{.,#,.,#,.,#,#,.,.,.},{.,#,.,.,.,#,#,.,.,.},{#,.,.,.,#,.,.,#,#,.},{#,.,#,.,#,.,.,.,.,.},{.,#,.,.,.,.,.,.,.,#},{.,.,#,.,#,#,.,.,.,#},{#,.,#,.,.,.,.,.,#,#},{.,.,.,.,.,.,.,.,#,#},{.,.,.,.,.,.,.,.,.,.},{.,#,#,.,.,.,.,#,#,#}}"
2857,#.####.#.#,.#...##.##,##.##.##..,#...#..#.#,"{{#,.,#,#,#,#,.,#,.,#},{#,.,.,.,.,#,#,#,.,.},{.,.,.,.,.,.,.,.,.,.},{#,.,#,.,.,.,.,.,.,.},{#,#,.,#,.,.,.,.,#,#},{.,#,.,.,.,#,.,.,#,.},{#,.,#,.,#,.,.,.,#,.},{#,.,.,#,.,.,.,.,.,#},{.,.,.,#,.,.,.,.,.,.},{.,#,.,.,.,#,#,.,#,#}}"
2221,##....###.,#..#######,####.#.#.#,.#...##..#,"{{#,#,.,.,.,.,#,#,#,.},{#,.,.,.,.,.,.,.,.,#},{#,#,.,#,.,.,.,.,#,.},{#,.,.,#,#,.,.,.,#,.},{.,.,#,.,.,#,#,.,#,.},{#,.,#,.,#,.,.,#,.,#},{.,.,.,.,.,#,#,#,#,#},{#,#,.,.,.,.,.,.,.,.},{.,.,.,#,.,.,.,.,#,.},{#,.,.,#,#,#,#,#,#,#}}"
2281,.###.####.,#....#.#.#,.#.##....#,..#..#.#.#,"{{.,#,#,#,.,#,#,#,#,.},{#,.,#,.,.,#,.,.,#,.},{.,.,.,#,#,.,.,.,.,#},{#,.,.,.,.,#,.,.,.,.},{#,.,.,#,.,.,.,.,.,.},{.,.,#,.,.,.,.,.,.,#},{.,.,.,.,#,.,.,#,#,.},{.,.,.,.,#,#,.,.,#,#},{.,.,#,.,.,#,#,#,.,.},{#,.,.,.,.,#,.,#,.,#}}"
1597,#..#..#.##,.#.#.#..##,##.#...##.,##...#..##,"{{#,.,.,#,.,.,#,.,#,#},{#,#,.,.,.,.,.,.,.,#},{.,.,.,.,#,.,#,.,#,.},{#,.,.,.,.,.,.,#,.,.},{.,.,.,.,.,#,#,.,.,.},{.,.,.,.,.,.,.,.,.,#},{.,.,.,.,.,.,.,#,.,.},{#,.,.,.,.,#,.,.,#,.},{#,.,.,.,.,.,.,.,.,#},{.,#,.,#,.,#,.,.,#,#}}"
1627,#...#.##..,..#...##.#,###..#.##.,....##..##,"{{#,.,.,.,#,.,#,#,.,.},{#,#,#,.,.,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,.,.,#,.,.},{.,.,#,#,#,.,.,#,#,#},{#,#,.,#,#,.,#,#,.,#},{.,.,.,.,.,.,.,.,#,.},{#,#,.,.,.,.,.,.,#,.},{#,.,.,.,#,.,.,.,#,#},{.,.,#,.,.,.,#,#,.,#}}"
2339,##..##.#.#,...#.#.###,#....#.#..,##..##...#,"{{#,#,.,.,#,#,.,#,.,#},{.,.,#,.,#,.,.,.,.,#},{.,.,#,#,.,#,.,.,.,.},{.,.,#,#,.,.,#,#,.,.},{.,.,.,#,.,.,.,.,.,#},{#,.,.,#,.,.,#,.,#,#},{.,.,.,.,#,.,.,.,.,.},{#,#,.,#,.,#,.,.,.,.},{.,.,.,#,.,.,.,.,.,.},{.,.,.,#,.,#,.,#,#,#}}"
2161,#..#.###..,#..##..#..,##...#####,.#.#.##.#.,"{{#,.,.,#,.,#,#,#,.,.},{#,.,.,.,.,.,.,.,.,#},{.,.,.,#,.,#,.,.,.,.},{.,.,.,.,.,#,.,#,.,#},{.,.,.,.,.,#,.,#,#,.},{#,.,.,.,#,.,.,#,#,#},{#,.,#,.,.,.,#,.,.,#},{#,.,.,.,.,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,#},{#,.,.,#,#,.,.,#,.,.}}"
2617,#.....##..,#.....###.,#..#.###.#,..#.#.#.#.,"{{#,.,.,.,.,.,#,#,.,.},{.,.,.,.,.,.,.,.,.,.},{.,.,#,.,#,#,.,.,.,#},{#,#,.,#,#,.,.,.,.,.},{.,.,#,.,.,.,.,.,.,#},{#,.,.,#,.,.,#,#,.,.},{#,#,#,#,.,#,.,.,.,#},{#,#,.,.,#,.,.,.,.,.},{.,.,.,.,.,.,.,.,.,#},{#,.,.,.,.,.,#,#,#,.}}"
2837,#.#.######,...#####..,#..#..#.#.,##.######.,"{{#,.,#,.,#,#,#,#,#,#},{.,.,.,#,.,#,.,.,.,#},{.,.,.,#,#,.,.,.,.,.},{#,.,.,.,.,#,.,.,#,#},{.,#,#,#,#,.,.,#,.,#},{.,.,.,.,#,.,.,.,.,#},{#,.,.,#,.,.,.,.,.,#},{.,#,.,.,.,.,#,.,#,#},{#,.,.,#,.,#,.,.,#,#},{.,.,.,#,#,#,#,#,.,.}}"
