outer,qty,inner
bright teal,3,mirrored aqua
posh cyan,5,dull purple
posh cyan,3,dark orange
posh cyan,5,dull olive
clear magenta,1,bright purple
clear magenta,3,light tan
clear magenta,3,dull turquoise
bright beige,2,muted teal
bright beige,4,dark teal
bright beige,3,dotted purple
bright beige,2,posh white
vibrant white,4,dim white
muted maroon,2,light orange
muted maroon,1,dim olive
muted maroon,5,striped yellow
light indigo,4,vibrant green
light indigo,5,muted chartreuse
dotted gold,4,bright purple
striped gray,1,faded aqua
striped gray,4,wavy red
striped gray,1,striped plum
striped gray,3,clear lime
mirrored blue,3,shiny gray
mirrored blue,4,faded cyan
mirrored blue,2,wavy magenta
mirrored blue,4,shiny coral
dark silver,3,dull yellow
dark silver,1,mirrored magenta
dark silver,3,posh tan
dark silver,1,bright lavender
striped purple,5,shiny green
faded violet,2,dim brown
vibrant gray,2,light silver
vibrant gray,4,dark orange
vibrant gray,3,dotted salmon
vibrant gray,5,pale lime
striped teal,2,striped yellow
striped teal,4,plaid beige
striped teal,4,pale plum
bright magenta,5,faded blue
bright magenta,2,dotted aqua
bright magenta,2,posh gray
bright magenta,2,muted tan
pale lavender,1,vibrant plum
pale lavender,3,vibrant lavender
vibrant chartreuse,1,dim purple
wavy salmon,2,clear teal
vibrant teal,2,dark plum
vibrant teal,5,striped gray
light tan,3,bright yellow
light tan,1,striped chartreuse
light tan,3,posh plum
light tan,4,dark magenta
drab orange,1,wavy purple
plaid salmon,3,dark olive
plaid salmon,4,muted indigo
plaid salmon,5,vibrant turquoise
plaid salmon,2,striped purple
vibrant beige,3,pale black
shiny black,5,plaid black
shiny black,4,dim brown
muted lime,1,mirrored maroon
muted lime,2,shiny red
muted lime,2,drab gold
muted lime,5,vibrant chartreuse
mirrored black,1,shiny salmon
faded indigo,4,mirrored salmon
vibrant gold,5,striped gold
vibrant gold,5,bright silver
vibrant gold,2,dotted purple
shiny olive,1,clear tomato
shiny olive,3,vibrant tomato
mirrored tan,4,pale orange
mirrored tan,3,plaid olive
mirrored tan,5,muted crimson
mirrored tan,5,posh salmon
dotted chartreuse,3,mirrored bronze
dotted chartreuse,2,clear purple
vibrant maroon,5,faded yellow
vibrant maroon,4,wavy maroon
vibrant maroon,1,wavy purple
shiny yellow,3,mirrored blue
shiny yellow,3,faded tan
shiny yellow,1,faded beige
shiny yellow,4,muted coral
muted black,2,plaid gold
muted black,4,shiny orange
muted black,3,clear green
faded cyan,2,dim brown
faded cyan,1,posh red
shiny crimson,1,clear maroon
dark white,5,light olive
dark white,5,drab coral
clear white,4,vibrant olive
vibrant green,3,dotted plum
vibrant green,2,drab aqua
vibrant green,1,clear gold
vibrant green,5,vibrant indigo
dim plum,4,striped chartreuse
dim plum,5,posh salmon
dim plum,5,mirrored salmon
dim plum,2,dim teal
dull gray,4,light maroon
dull gray,1,plaid tan
posh teal,4,shiny orange
posh teal,4,shiny aqua
posh teal,5,mirrored teal
shiny plum,2,striped coral
shiny plum,4,drab black
shiny plum,2,muted brown
clear silver,5,light lavender
clear silver,5,plaid olive
wavy tan,3,bright gray
wavy tan,2,dark olive
wavy tan,3,posh fuchsia
wavy tan,4,muted gray
wavy purple,2,shiny gold
wavy purple,4,mirrored maroon
clear chartreuse,3,shiny beige
clear chartreuse,1,mirrored teal
clear chartreuse,1,dotted coral
dark orange,1,muted violet
dark orange,5,shiny indigo
muted olive,1,vibrant olive
dim lavender,3,vibrant red
dim lavender,3,vibrant lavender
dim lavender,5,drab orange
dull salmon,5,shiny blue
dotted orange,1,faded violet
dotted orange,4,posh gold
dotted orange,1,faded fuchsia
dotted orange,4,muted orange
mirrored purple,3,vibrant lime
mirrored purple,5,dim teal
plaid olive,3,light silver
plaid olive,1,vibrant violet
plaid olive,2,dotted silver
plaid olive,4,mirrored salmon
dark violet,2,light magenta
dark violet,3,wavy magenta
dark violet,4,light aqua
dark violet,5,striped lime
pale fuchsia,1,light turquoise
pale fuchsia,2,plaid lime
pale fuchsia,3,dotted white
pale fuchsia,1,dark red
wavy tomato,4,striped brown
wavy tomato,2,dotted crimson
wavy tomato,2,dull bronze
dull olive,2,clear purple
faded maroon,5,mirrored brown
faded maroon,3,dull gray
faded maroon,2,clear olive
dark brown,2,faded silver
dark brown,3,muted violet
dark brown,5,shiny teal
clear indigo,5,muted violet
clear indigo,2,striped beige
clear indigo,5,posh plum
clear indigo,2,clear violet
dim maroon,5,dotted crimson
dim maroon,3,dotted cyan
dim maroon,4,dim beige
dark fuchsia,4,clear green
dark fuchsia,3,plaid green
faded fuchsia,4,dotted silver
faded fuchsia,2,clear orange
faded fuchsia,4,drab green
posh beige,2,mirrored red
posh beige,4,light silver
posh beige,5,dull cyan
posh beige,4,muted plum
vibrant salmon,4,posh red
vibrant salmon,3,faded cyan
vibrant salmon,1,bright olive
striped green,5,dim tan
striped green,3,dotted purple
striped green,2,dotted tan
striped green,4,posh gray
drab tomato,1,plaid aqua
dotted gray,4,pale salmon
dotted gray,2,shiny crimson
dotted gray,1,dark white
dotted brown,5,dim green
shiny coral,2,muted gold
shiny coral,4,vibrant olive
shiny coral,3,clear red
dark magenta,3,bright purple
dark magenta,2,muted gray
dark magenta,3,faded gray
dark magenta,5,muted teal
vibrant orange,1,clear gold
plaid turquoise,2,dark gold
mirrored brown,2,dark silver
mirrored brown,3,clear violet
mirrored brown,4,wavy tomato
posh orange,5,pale orange
posh orange,5,wavy black
posh orange,2,dim gray
posh orange,4,plaid teal
dark blue,2,faded gray
dark blue,2,bright purple
dark blue,2,vibrant beige
dotted plum,3,striped lavender
dotted plum,2,clear red
vibrant lime,3,dim fuchsia
dotted lavender,1,clear black
dotted lavender,3,faded gray
muted cyan,5,bright silver
dull yellow,4,vibrant salmon
dim purple,3,pale lime
dim purple,3,striped yellow
dim purple,5,light fuchsia
dim purple,5,pale tan
drab violet,5,bright fuchsia
posh lime,5,light salmon
posh lime,2,dim plum
dark cyan,1,dim olive
dark cyan,1,plaid turquoise
shiny white,1,dull tomato
shiny white,3,dim blue
shiny white,1,shiny teal
light coral,3,dotted indigo
light coral,2,dim plum
light coral,5,clear gold
light coral,4,bright crimson
posh lavender,4,dull olive
dull bronze,4,dull plum
striped silver,1,dotted tan
striped silver,1,vibrant salmon
striped silver,1,bright yellow
pale violet,5,dim violet
pale violet,4,light salmon
pale violet,5,dark crimson
pale silver,5,plaid turquoise
pale silver,4,dull olive
pale silver,1,drab aqua
pale silver,2,dotted crimson
posh fuchsia,3,dark orange
posh fuchsia,1,bright purple
posh fuchsia,4,dark turquoise
posh fuchsia,1,dull fuchsia
mirrored crimson,1,clear lime
drab purple,4,clear aqua
drab purple,1,wavy fuchsia
drab purple,5,light cyan
dark salmon,5,faded gray
wavy teal,5,faded cyan
dull plum,2,dark gold
clear plum,1,wavy brown
clear plum,3,pale salmon
clear plum,4,dim orange
clear plum,1,striped magenta
light salmon,2,faded cyan
light salmon,3,dim cyan
light salmon,1,muted fuchsia
dull chartreuse,5,plaid coral
dull chartreuse,1,posh maroon
dull chartreuse,2,dark beige
bright indigo,4,shiny cyan
bright indigo,4,dark yellow
bright indigo,1,dim blue
bright indigo,2,light beige
muted lavender,4,faded salmon
muted lavender,3,dark beige
muted lavender,3,dull bronze
drab tan,2,wavy purple
drab tan,4,plaid lime
drab tan,5,vibrant tan
drab tan,1,dim blue
shiny orange,3,pale gold
shiny orange,5,vibrant gray
plaid lime,1,posh salmon
plaid lime,1,striped coral
pale aqua,5,dull magenta
pale aqua,1,wavy green
faded olive,1,mirrored crimson
faded olive,4,bright teal
faded olive,4,mirrored brown
faded olive,3,plaid tan
dotted cyan,4,mirrored blue
dotted cyan,5,drab aqua
dotted cyan,1,pale lavender
faded teal,1,pale gold
mirrored aqua,4,striped chartreuse
mirrored aqua,2,vibrant indigo
mirrored aqua,4,dark orange
faded crimson,4,clear red
faded crimson,5,striped lime
faded crimson,2,striped beige
faded crimson,2,plaid beige
drab silver,2,pale turquoise
drab silver,1,clear fuchsia
drab silver,4,faded yellow
drab silver,3,faded lime
posh blue,2,plaid gold
posh blue,2,dark teal
posh blue,2,dim black
dark purple,3,wavy maroon
dark purple,3,dull white
dark purple,3,dark orange
dark purple,2,mirrored maroon
muted aqua,4,bright white
posh gold,1,vibrant tomato
posh gold,3,dim lavender
posh gold,4,pale aqua
posh gold,3,light brown
dotted silver,2,mirrored salmon
dotted silver,4,striped lavender
striped violet,3,mirrored olive
dark turquoise,1,muted fuchsia
dark turquoise,2,pale bronze
dark turquoise,2,muted teal
drab coral,5,bright olive
drab coral,1,dark red
drab coral,3,drab magenta
clear lavender,4,drab orange
clear lavender,5,plaid white
clear lavender,4,pale teal
bright cyan,4,mirrored maroon
bright cyan,3,light silver
bright cyan,2,shiny indigo
bright cyan,4,light turquoise
plaid blue,5,dim lavender
plaid purple,2,mirrored maroon
plaid purple,3,dark magenta
plaid purple,4,dotted indigo
bright black,3,vibrant black
wavy gray,3,muted beige
wavy gray,3,dotted coral
wavy gray,2,clear olive
clear gray,5,dim indigo
clear gray,3,dotted magenta
clear gray,5,drab bronze
clear gray,5,plaid green
shiny tan,1,dim violet
shiny tan,2,striped coral
shiny tan,1,posh olive
muted red,1,plaid lime
bright bronze,2,muted yellow
bright bronze,3,shiny plum
bright bronze,2,vibrant red
bright bronze,4,shiny gray
drab gold,2,dark tan
drab gold,1,muted tomato
drab gold,4,faded tan
drab gold,4,mirrored lavender
dull aqua,2,shiny violet
dull aqua,3,dim lavender
dull aqua,4,dim gray
vibrant silver,1,plaid lime
vibrant silver,1,posh tan
vibrant silver,2,muted plum
vibrant silver,4,shiny green
faded tomato,2,dotted olive
faded tomato,5,shiny gray
shiny lavender,5,drab magenta
shiny lavender,2,pale green
shiny lavender,4,posh green
shiny lavender,2,striped aqua
drab indigo,3,dark coral
pale yellow,5,muted cyan
pale yellow,2,pale tan
pale yellow,1,muted silver
dim orange,4,muted plum
dim orange,4,wavy crimson
dim orange,3,dim tomato
dim beige,5,striped red
dim beige,1,pale orange
drab green,3,dark red
drab green,2,pale orange
drab green,5,dull plum
drab green,5,faded plum
bright blue,5,plaid teal
bright blue,4,muted teal
bright blue,3,shiny salmon
bright blue,4,dull red
light silver,5,striped lavender
light silver,2,clear red
light silver,2,dotted plum
light white,3,vibrant indigo
drab cyan,4,mirrored tomato
drab cyan,3,faded aqua
drab cyan,1,posh gray
drab cyan,1,shiny maroon
shiny blue,3,shiny plum
shiny blue,2,dotted red
shiny blue,4,pale bronze
shiny blue,2,drab gray
posh turquoise,3,dark salmon
posh turquoise,2,posh black
posh maroon,2,pale silver
posh maroon,4,dull crimson
bright green,2,dotted purple
bright green,5,shiny red
pale maroon,3,bright orange
pale maroon,1,light lime
pale maroon,5,pale red
bright purple,3,dark red
bright purple,4,clear indigo
bright purple,5,mirrored aqua
light turquoise,5,pale tan
dotted beige,5,posh blue
dotted beige,4,bright crimson
dotted beige,4,wavy red
muted tan,3,clear black
muted tan,2,striped crimson
muted tan,4,posh tan
muted tan,5,wavy brown
dim bronze,5,posh coral
dim bronze,3,wavy lavender
dim bronze,2,dotted coral
dim bronze,1,bright beige
dull red,4,shiny violet
dull red,4,muted beige
light green,1,dim plum
light green,1,posh bronze
light green,4,plaid olive
light green,3,plaid fuchsia
dotted tomato,5,dull lime
dotted tomato,3,muted tomato
dim violet,4,light salmon
dim violet,1,dotted purple
mirrored turquoise,4,drab gray
posh silver,4,bright purple
dark lavender,3,plaid purple
clear beige,2,vibrant lime
clear beige,2,muted gold
clear beige,4,dotted blue
striped indigo,1,striped fuchsia
dim gold,2,drab brown
dim gold,3,mirrored brown
dull lime,1,dark teal
